Laurence Abeille
Brigitte Allain
Pouria Amirshahi
François Asensi
Isabelle Attard
Danielle Auroi
Philippe Baumel
Laurent Baumel
Huguette Bello
Jean-Pierre Blazy
Michèle Bonneton
Alain Bocquet
Kheira Bouziane
Isabelle Bruneau
Marie-George Buffet
Jean-Jacques Candelier
Fanélie Carrey-Conte
Patrice Carvalho
Nathalie Chabanne
Gaby Charroux
André Chassaigne
Dominique Chauvel
Pascal Cherki
Sergio Coronado
Marc Dolez
Cécile Duflot
Hervé Féron
Aurélie Filippetti
Jacqueline Fraysse
Geneviève Gaillard
Yann Galut
Linda Gourjade
Édith Gueugneau
Benoît Hamon
Mathieu Hanotin
Christian Hutin
Romain Joron
Régis Juanico
Jérôme Lambert
Jean Lassalle
Christophe Léonard
Jean-Luc Laurent
Noël Mamère
Alfred Marie-Jeanne
Jean-Philippe Nilor
Philippe Noguès
Christian Paul
Michel Pouzol
Patrice Prat
Barbara Romagnan
Jean-Louis Roumégas
Nicolas Sansu
Éva Sas
Gérard Sebaoun
Suzanne Tallard
Thomas Thévenoud
Michel Vergnier
Paola Zanetti
